travel_id,team_name,group_id,scenario,game_1_stadium_id,game_2_stadium_id,game_3_stadium_id,game_1_stadium,game_2_stadium,game_3_stadium,game_1_to_2_km,game_2_to_3_km,total_km,pair_dist_km
1038,Algeria,J,actual,26,37,26,Arrowhead Stadium,Levi's Stadium,Arrowhead Stadium,2398.8,2398.8,4797.6,
1039,Austria,J,actual,37,31,26,Levi's Stadium,AT&T Stadium,Arrowhead Stadium,2314.8,738.9,3053.8,
1040,Jordan,J,actual,37,37,31,Levi's Stadium,Levi's Stadium,AT&T Stadium,0.0,2314.8,2314.8,
1041,Portugal,K,actual,20,20,36,NRG Stadium,NRG Stadium,Hard Rock Stadium,0.0,1547.1,1547.1,
1042,DR Congo,K,actual,20,13,33,NRG Stadium,Estadio Akron,Mercedes-Benz Stadium,1286.7,2373.0,3659.7,
1043,Uzbekistan,K,actual,14,20,33,Estadio Azteca,NRG Stadium,Mercedes-Benz Stadium,1214.6,1134.7,2349.2,
1044,Colombia,K,actual,14,13,36,Estadio Azteca,Estadio Akron,Hard Rock Stadium,476.5,2439.3,2915.8,
1045,England,L,actual,31,27,35,AT&T Stadium,Gillette Stadium,MetLife Stadium,2493.6,273.9,2767.5,
1046,Croatia,L,actual,31,3,28,AT&T Stadium,BMO Field,Lincoln Financial Field,1955.4,544.4,2499.8,
1047,Ghana,L,actual,3,27,28,BMO Field,Gillette Stadium,Lincoln Financial Field,686.1,408.1,1094.2,
1048,Panama,L,actual,3,3,35,BMO Field,BMO Field,MetLife Stadium,0.0,540.2,540.2,
